Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"UC Santa Barbara — LLM Use Case Database","University of California, Santa Barbara","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2024,"$133,402"
"UC Santa Cruz — Adversarial Robustness Research","UC Santa Cruz","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",01/2021,"$265,000"
"UCLA — Climate Engineering Governance","UCLA School of Law","Solar Radiation Management","Global Catastrophic Risks; Solar Radiation Management",03/2017,"$776,095"
"UCLA — Epigenetic Clock Research (Steve Horvath)","University of California, Los Angeles","Scientific Research","Scientific Research",04/2019,"$2,368,300"
"UCLA School of Law — AI Governance","UCLA School of Law","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",05/2017,"$1,536,222"
"UCSF — Chronic Pain Research (Allan Basbaum) (2019)","University of California, San Francisco","Scientific Research","Scientific Research",08/2018,"$1,021,318"
"UCSF — Chronic Pain Research (Allan Basbaum) (2021)","University of California, San Francisco","Scientific Research","Scientific Research",09/2021,"$1,066,312"
"UCSF — Communal Computing Technology","University of California, San Francisco","Innovation Policy","Abundance &amp; Growth; Innovation Policy",02/2025,"$1,500,000"
"UCSF — Organ Regenerative Surgery (Tammy Chang)","University of California, San Francisco","Scientific Research","Scientific Research",06/2017,"$825,000"
"UCSF — Research on Antiviral Drugs (Raul Andino)","University of California, San Francisco","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",02/2018,"$880,000"
"Universidad de Antioquia— Alzheimer&#8217;s Disease Research (Francisco Lopera)","Universidad de Antioquia","Alzheimer's Research","Scientific Research; Alzheimer's Research",11/2021,"$440,200"
"Universidad Peruana Cayetano Heredia — Syphilis Immunology Analysis","Universidad Peruana Cayetano Heredia","Scientific Research","Scientific Research",05/2025,"$220,000"
"Universitätsklinikum Hamburg-Eppendorf — Alzheimer&#8217;s Disease Research (Diego Sepulveda-Falla)","Universitätsklinikum Hamburg-Eppendorf","Alzheimer's Research","Scientific Research; Alzheimer's Research",12/2021,"$1,307,513"
"Université de Montréal — Research Project on Artificial Intelligence","Université de Montréal","Potential Risks from Advanced AI","Potential Risks from Advanced AI",09/2021,"$210,552"
"University College London &#8211; Dylan Williams, Alzheimer&#8217;s Study","University College London","Alzheimer's Research","Scientific Research; Alzheimer's Research",10/2021,"$175,000"
"University Health Network — Hepatitis C Challenge Model","University Health Network","Scientific Research","Scientific Research",03/2024,"$1,460,000"
"University Health Network — Preterm Birth Research (2019)","University Health Network","Scientific Research","Scientific Research",02/2019,"$2,778,879"
"University Health Network — Preterm Birth Research (2020)","University Health Network","Scientific Research","Scientific Research",10/2020,"$1,228,000"
"University of Amsterdam — HCV Vaccine Research","University of Amsterdam","Scientific Research","Scientific Research",10/2023,"$3,464,862"
"University of Basel — Graduate Courses on Cause Prioritization","University of Basel","Effective Giving and Careers","Effective Giving and Careers",11/2024,"$22,000"
"University of Bern — Cage-free Layer Hen Genetics","University of Bern","Farm Animal Welfare","Farm Animal Welfare",05/2022,"$2,700,000"
"University of Bern — Higher Welfare Cage-Free Systems","University of Bern","Farm Animal Welfare","Farm Animal Welfare",11/2018,"$150,000"
"University of Bern — Layer Hen Breeding Research","University of Bern","Farm Animal Welfare","Farm Animal Welfare",11/2020,"$410,000"
"University of Birmingham — Biological Threat Detection Research","University of Birmingham","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",05/2023,"$75,000"
"University of Bonn — Influenza Drug Development","University of Bonn","Scientific Research","Scientific Research",07/2023,"$2,200,000"
"University of British Columbia — AI Alignment Research","University of British Columbia","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2023,"$100,375"
"University of California Santa Cruz — Adversarial Robustness Research (2023)","UC Santa Cruz","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2023,"$114,000"
"University of California, Berkeley — Aging Research (Irina Conboy) (2023)","University of California, Berkeley","Scientific Research","Scientific Research; Transformative Basic Science",01/2023,"$3,042,600"
"University of California, Berkeley — PAVITRA Pollution Modeling Tool","University of California, Berkeley","South Asian Air Quality","South Asian Air Quality",09/2022,"$1,308,342"
"University of California, Los Angeles – Social Science Genetic Association Consortium (2023)","University of California, Los Angeles","Scientific Research","Scientific Research",01/2024,"$1,500,000"
"University of California, Los Angeles — Social Science Genetic Association Consortium (2020)","University of California, Los Angeles","Scientific Research","Scientific Research",09/2020,"$2,250,000"
"University of California, San Diego — AI Persuasiveness Evaluation","University of California, San Diego","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2024,"$470,731"
"University of California, San Francisco Foundation — Reproductive Medicine Research","San Francisco Foundation","Scientific Research","Scientific Research",11/2021,"$550,000"
"University of California, San Francisco Foundation — Reproductive Medicine Research (2023)","University of California, San Francisco","Scientific Research","Scientific Research",07/2023,"$200,000"
"University of Cambridge — Machine Learning Research","University of Cambridge","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",04/2021,"$250,000"
"University of Cape Town — Geomagnetics Research","University of Cape Town","Global Catastrophic Risks","Global Catastrophic Risks",09/2016,"$493,425"
"University of Cape Town — Tuberculosis Vaccine Preclinical Development and Testing","University of Cape Town","Scientific Research","Scientific Research",09/2024,"$597,557"
"University of Chicago — Chicago School of Existential Risk","University of Chicago","Global Catastrophic Risks","Global Catastrophic Risks",06/2022,"$207,000"
"University of Chicago — Existential Risk Laboratory Fellowship Program","University of Chicago","Effective Giving and Careers","Effective Giving and Careers",05/2023,"$285,000"
"University of Chicago — Existential Risk Laboratory Fellowship Program (2024)","University of Chicago","Global Catastrophic Risks","Global Catastrophic Risks",04/2024,"$301,800"
"University of Chicago — Existential Risk Laboratory Fellowship Program (2025)","University of Chicago","Global Catastrophic Risks","Global Catastrophic Risks",05/2025,"$244,728"
"University of Chicago — Microbiome and Alzheimer&#8217;s (Sangram Sisodia)","University of Chicago","Alzheimer's Research","Scientific Research; Alzheimer's Research",10/2018,"$2,322,876"
"University of Chicago — Research on Complementary AI","University of Chicago","Potential Risks from Advanced AI","Potential Risks from Advanced AI",05/2023,"$250,000"
"University of Chicago — Research on Mobile Conditional Cash Transfers","University of Chicago","Global Health & Development","Global Health & Development",01/2022,"$1,971,943"
"University of Colorado — COVID-19 Personal Protective Equipment Experiments","University of Colorado","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",04/2020,"$250,000"
"University of Dundee — StrepA Vaccine Research","University of Dundee","Scientific Research","Scientific Research",05/2024,"$1,050,000"
"University of Edinburgh — Animal Welfare Scholarships","University of Edinburgh","Farm Animal Welfare","Farm Animal Welfare",10/2018,"$102,041"
"University of Edinburgh — Effective Altruism Psychology Course","University of Edinburgh","Effective Giving and Careers","Effective Giving and Careers",06/2022,"$47,000"
"University of Edinburgh — Preterm Birth RCT","University of Edinburgh","Scientific Research","Scientific Research",06/2023,"$344,973"
"University of Edinburgh — Syphilis Genome Sequencing","University of Edinburgh","Scientific Research","Scientific Research",06/2023,"$357,880"
"University of Edinburgh — Treatments for Preterm Birth","University of Edinburgh","Scientific Research","Scientific Research",03/2025,"$5,900,000"
"University of Georgia — Malaria Research (2023)","University of Georgia","Scientific Research","Scientific Research",01/2023,"$192,925"
"University of Georgia — Malaria Vaccine Research","University of Georgia","Scientific Research","Scientific Research",09/2022,"$2,776,791"
"University of Glasgow — Animal Welfare Research","University of Glasgow","Farm Animal Welfare","Farm Animal Welfare",12/2020,"$109,552"
"University of Glasgow — Malaria Prevention Research (Steven Sinkins)","University of Glasgow","Scientific Research","Scientific Research",10/2020,"$3,175,000"
"University of Helsinki — Travel Funding for Air Pollution Research","University of Helsinki","South Asian Air Quality","South Asian Air Quality",11/2022,"$87,743"
"University of Helsinki — Travel Funding for Air Pollution Research (2023)","University of Helsinki","South Asian Air Quality","South Asian Air Quality",10/2023,"$109,000"
"University of Illinois  — Course Development Support (Ben Levinstein)","University of Illinois","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2022,"$58,141"
"University of Illinois — AI Alignment Research","University of Illinois","Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2023,"$80,000"
"University of Illinois Foundation – LLM Hacking Benchmarks","University of Illinois Urbana-Champaign","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2024,"$800,000"
"University of Illinois Urbana-Champaign — Zero-knowledge Proofs for Secure AI Audits","University of Illinois Urbana-Champaign","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",02/2025,"$615,000"
"University of Maine — Biofilm-Resistant Catheters","University of Maine","Scientific Research","Scientific Research",08/2022,"$500,000"
"University of Maryland — LLM Cybsercurity Benchmark","University of Maryland","Potential Risks from Advanced AI","Potential Risks from Advanced AI",10/2024,"$1,721,079"
"University of Maryland — Policy Fellowship (2023)","University of Maryland","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2023,"$312,959"
"University of Maryland — Policy Fellowship (September 2023)","University of Maryland","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",09/2023,"$286,000"
"University of Maryland — Policy Fellowships","University of Maryland","Global Catastrophic Risks","Global Catastrophic Risks",12/2021,"$483,880"
"University of Maryland — Research on Neural Network Generalization","University of Maryland","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$350,000"
"University of Maryland — Study on Encoded Reasoning in LLMs","University of Maryland","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2025,"$218,000"
"University of Michigan &#8211; Research on Mammalian Gamete Development","University of Michigan","Scientific Research","Scientific Research",03/2019,"$2,500,000"
"University of Michigan — Course Development Support (Anna Edmonds)","University of Michigan","Effective Giving and Careers","Effective Giving and Careers",02/2022,"$50,300"
"University of Michigan — COVID-19 Protein Production (Aubree Gordon)","University of Michigan","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",04/2020,"$348,000"
"University of Michigan — Research on Gamete Development (2023)","University of Michigan","Scientific Research","Scientific Research; Transformative Basic Science",05/2023,"$2,000,000"
"University of Michigan — Scalable Oversight Research","University of Michigan","Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2024,"$100,000"
"University of Michigan — Support for David Manley","University of Michigan","Effective Giving and Careers","Effective Giving and Careers; Global Health & Development; Biosecurity and Pandemic Preparedness; Farm Animal Welfare",10/2018,"$46,695"
"University of Minnesota — Legal Automation Benchmark","The University of Minnesota, Twin Cities","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2024,"$74,132"
"University of Minnesota — Nanomaterials Research (Claudia Schmidt-Dannert)","The University of Minnesota, Twin Cities","Scientific Research","Scientific Research",12/2018,"$150,000"
"University of Missouri — Animal Welfare Research","University of Missouri","Farm Animal Welfare","Farm Animal Welfare",01/2020,"$189,000"
"University of New South Wales — In Vitro Fertilization Research (Robert Gilchrist)","University of New South Wales","Scientific Research","Scientific Research; Transformative Basic Science",11/2020,"$2,500,000"
"University of Notre Dame — Biofilm-Resistant Catheters","University of Notre Dame","Scientific Research","Scientific Research",12/2022,"$895,000"
"University of Notre Dame — Nanopore Protein Sequencing (Gregory Timp)","University of Notre Dame","Scientific Research","Scientific Research",06/2017,"$2,054,142"
"University of Notre Dame — Nanopore Protein Sequencing (Gregory Timp) (2021)","University of Notre Dame","Scientific Research","Scientific Research",08/2021,"$1,769,056"
"University of Ottawa — Institute for Replication (2023)","University of Ottawa","Innovation Policy","Innovation Policy",05/2023,"$464,698"
"University of Ottawa — Institute for Replication (2024)","University of Ottawa","Innovation Policy","Global Health and Wellbeing; Innovation Policy",12/2024,"$1,005,774"
"University of Ottawa — Research Chairship","University of Ottawa","Abundance &amp; Growth","Abundance &amp; Growth",01/2025,"$69,588"
"University of Oxford — AI Cybersecurity Project","University of Oxford","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2024,"$264,666"
"University of Oxford — Animal Welfare Research","University of Oxford","Farm Animal Welfare","Farm Animal Welfare",10/2019,"$41,800"
"University of Oxford — D.Phil Support for Andrew Snyder-Beattie","University of Oxford","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",10/2018,"$26,086"
"University of Oxford — Genetic Engineering Attribution","University of Oxford","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",01/2023,"$40,000"
"University of Oxford — Hepatitis C Challenge Model","University of Oxford","Scientific Research","Scientific Research",04/2024,"$1,353,450"
"University of Oxford — Improved first-generation Malaria Vaccine Development","University of Oxford","Global Health R&amp;D","Global Health R&amp;D",12/2024,"$4,296,130"
"University of Oxford — LLM Research Replication","University of Oxford","Potential Risks from Advanced AI","Potential Risks from Advanced AI",09/2024,"$622,167"
"University of Oxford — Malaria Vaccine Manufacturing","University of Oxford","Global Health R&amp;D","Global Health R&amp;D",12/2024,"$4,703,785"
"University of Oxford — Monoclonal Antibody Development for Malaria","University of Oxford","Global Health R&amp;D","Global Health R&amp;D",11/2023,"$300,000"
"University of Oxford — New Office for Effective Altruism Organizations","University of Oxford","Effective Giving and Careers","Effective Giving and Careers",02/2020,"$776,271"
"University of Oxford — Oxford AI Governance Initiative","University of Oxford","Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2025,"$5,423,018"
"University of Oxford — Research on the Global Politics of AI","University of Oxford","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",07/2018,"$429,770"
"University of Oxford — Travel Scholarships for Mining Workshop","University of Oxford","Economic Growth in LMICs","Economic Growth in LMICs",06/2024,"$42,000"
"University of Pavia — Law, Ethics, and AI Course Development","University of Pavia","Effective Giving and Careers","Effective Giving and Careers",02/2023,"$23,245"
"University of Pennsylvania — Adrenal Cell Research","University of Pennsylvania","Scientific Research","Scientific Research",12/2022,"$1,320,000"
"University of Pennsylvania — AI Governance Roundtables","University of Pennsylvania","Potential Risks from Advanced AI","Potential Risks from Advanced AI",09/2023,"$110,000"
"University of Pennsylvania — Farm Animal Welfare Conference","University of Pennsylvania","Farm Animal Welfare","Farm Animal Welfare",05/2025,"$30,000"
"University of Pennsylvania — Forecasting Tournament Planning","University of Pennsylvania",Forecasting,Forecasting,10/2021,"$275,000"
"University of Pennsylvania — Geopolitical Forecasting Research (2020)","University of Pennsylvania",Forecasting,Forecasting,08/2020,"$29,432"
"University of Pennsylvania — Geopolitical Forecasting Research (2021)","University of Pennsylvania",Forecasting,Forecasting,02/2021,"$132,181"
"University of Pennsylvania — High-Skilled Immigration Budget Modeling","University of Pennsylvania","Innovation Policy","Innovation Policy",04/2024,"$1,100,000"
"University of Pennsylvania — Human Germ Cell Research (2023)","University of Pennsylvania","Scientific Research","Scientific Research",12/2023,"$2,585,990"
"University of Pennsylvania — Philip Tetlock on Forecasting","University of Pennsylvania",Forecasting,Forecasting,03/2016,"$500,000"
"University of Pennsylvania — Research on Mammalian Reproduction (Kotaro Sasaki) (2019)","University of Pennsylvania","Scientific Research","Scientific Research",02/2019,"$660,000"
"University of Pennsylvania — Research on Mammalian Reproduction (Kotaro Sasaki) (2020)","University of Pennsylvania","Scientific Research","Scientific Research; Transformative Basic Science",12/2020,"$1,000,000"
"University of Pennsylvania — VEuPath Database","University of Pennsylvania","Scientific Research","Scientific Research",08/2024,"$750,000"
"University of Pretoria — Far-UVC Study","University of Pretoria","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",02/2025,"$754,525"
"University of Queensland — Online EA Course","University of Queensland","Effective Giving and Careers","Effective Giving and Careers",09/2022,"$36,561"
"University of Rochester — Rural-Urban Migration in Kenya","University of Rochester","Immigration Policy","Immigration Policy",10/2021,"$1,074,377"
"University Of Science Technical And Technologies De Bamako — Malaria Vaccine Clinical Trial (Dicko)","University Of Science Technical And Technologies De Bamako","Scientific Research","Scientific Research; Global Health & Development",08/2021,"$630,123"
"University of Southern California — Adversarial Robustness Research","University of Southern California","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",08/2021,"$320,000"
"University of Southern California — Clinical Trial for Preterm Birth Supplements","University of Southern California","Scientific Research","Scientific Research",10/2024,"$1,070,495"
"University of Southern California — Course Development Support (Jake Nebel)","University of Southern California","Effective Giving and Careers","Effective Giving and Careers",10/2021,"$33,000"
"University of Southern California — Genomic Research Methods","University of Southern California","Scientific Research","Scientific Research",03/2016,"$1,738,500"
"University of Southern California — Genomic Research Methods (January 2019)","University of Southern California","Scientific Research","Scientific Research",01/2019,"$2,250,000"
"University of Southern California — Genomic Research Methods (July 2019)","University of Southern California","Scientific Research","Scientific Research",07/2019,"$2,250,000"
"University of Southern California — Linezolid Trial for Syphilis","University of Southern California","Scientific Research","Scientific Research",10/2023,"$160,000"
"University of Southern California — Preterm Births Research","University of Southern California","Scientific Research","Scientific Research",03/2023,"$114,553"
"University of Southern California — Syphilis Genome Sequencing","University of Southern California","Scientific Research","Scientific Research",12/2022,"$90,000"
"University of Stirling — Fish Welfare Research","University of Stirling","Farm Animal Welfare","Farm Animal Welfare",09/2022,"$904,610"
"University of Stirling — Research on Electrical Stunning","University of Stirling","Farm Animal Welfare","Farm Animal Welfare",03/2023,"$146,812"
"University of Stirling — Research on Electrical Stunning (2024)","University of Stirling","Fish Welfare","Fish Welfare; Farm Animal Welfare",04/2024,"$363,054"
"University of Texas at Austin — AI Safety Research","University of Texas at Austin","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",12/2024,"$885,000"
"University of Texas Medical Branch — Nucleic Acid Antiviral Testing","University of Texas Medical Branch","Scientific Research","Scientific Research",06/2023,"$200,000"
"University of Toronto — Alignment Research","University of Toronto","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2023,"$80,000"
"University of Toronto — Machine Learning Research","University of Toronto","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",12/2020,"$520,000"
"University of Toronto — Social Science Prediction Platform","University of Toronto","Global Catastrophic Risks",,03/2023,"$40,000"
"University of Tübingen — Adversarial Robustness Research (Matthias Hein)","University of Tübingen","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",02/2021,"$300,000"
"University of Tübingen — Robustness Research (Wieland Brendel)","University of Tübingen","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",02/2021,"$590,000"
"University of Tuebingen — Adversarial Robustness Research","University of Tuebingen","Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2023,"$575,000"
"University of Utah — AI Alignment Research","University of Utah","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2023,"$140,000"
"University of Utah — Course on Human-AI Alignment","University of Utah",Longtermism,Longtermism,08/2023,"$31,773"
"University of Utah — Henipavirus Antivirals","University of Utah","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",10/2022,"$385,000"
"University of Utah — Henipavirus Antivirals (2024)","University of Utah","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",07/2024,"$427,900"
"University of Victoria — Syphilis Diagnostic (Caroline Cameron)","University of Victoria","Scientific Research","Scientific Research",02/2022,"$2,000,000"
"University of Warsaw — Effective Altruism Course Development","University of Warsaw","Global Catastrophic Risks","Global Catastrophic Risks",05/2024,"$6,160"
"University of Warwick — Evidence-Based Policymaking","University of Warwick","Global Health and Wellbeing","Global Health and Wellbeing",11/2024,"$21,490"
"University of Warwick — High-Skilled Immigration Research","University of Warwick","Immigration Policy","Immigration Policy",06/2024,"$210,000"
"University of Washington — Adversarial Robustness Research","University of Washington","Potential Risks from Advanced AI","Potential Risks from Advanced AI",10/2021,"$730,000"
"University of Washington — Air Pollution Research Planning","University of Washington","Global Public Health Policy","Global Public Health Policy; South Asian Air Quality",06/2024,"$82,000"
"University of Washington — Flu Vaccine and Protein Design (Baker and King)","University of Washington (Institute for Protein Design)","Scientific Research","Scientific Research",12/2017,"$11,367,500"
"University of Washington — HCV Vaccine Research","University of Washington","Scientific Research","Scientific Research",10/2023,"$355,608"
"University of Washington — Nuclear Fusion Research","University of Washington","Scientific Research","Scientific Research",01/2017,"$700,000"
"University of Washington — PAVITRA Pollution Modeling Tool","University of Washington","South Asian Air Quality","South Asian Air Quality",09/2022,"$442,862"
"University of Washington — Philosophy of AI Course Development","University of Washington","Potential Risks from Advanced AI","Potential Risks from Advanced AI",07/2022,"$15,524"
"University of Washington — Protein Design Research (David Baker)","University of Washington (Institute for Protein Design)","Scientific Research","Scientific Research",11/2021,"$3,263,750"
"University of Washington — Syphilis Vaccine Development (David Baker and Neil King)","University of Washington","Scientific Research","Scientific Research",12/2021,"$283,539"
"University of Washington — Syphilis Vaccine Development (Lorenzo Giacani)","University of Washington","Scientific Research","Scientific Research",08/2021,"$816,063"
"University of Washington — Syphilis Vaccine Development (Lorenzo Giacani) (2024)","University of Washington","Scientific Research","Scientific Research",06/2024,"$1,025,884"
"University of Washington — Tonsil Model for Tuberculosis Research","University of Washington","Scientific Research","Scientific Research; Transformative Basic Science",02/2023,"$1,500,000"
"University of Washington — Tuberculosis Research","University of Washington","Scientific Research","Scientific Research",08/2023,"$1,425,475"
"University of Washington — Universal Influenza Vaccines (Neil King)","University of Washington (Institute for Protein Design)","Scientific Research","Scientific Research",09/2021,"$3,230,394"
"University of Wisconsin–Madison — Layer Hen Welfare Research","University of Wisconsin–Madison","Farm Animal Welfare","Farm Animal Welfare",12/2022,"$279,000"
"University of Wisconsin–Madison — Scalable Oversight Research","University of Wisconsin–Madison","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2024,"$100,000"
"University of Zurich — Swiss Aid Effectiveness","University of Zurich","Global Aid Policy","Global Aid Policy",11/2024,"$136,097"
"Unlimit Health — Deworming and Worm Burden Mapping (2022)","Unlimit Health","Global Health & Development","Global Health & Development",01/2022,"$19,995,935"
"Unlimit Health — General Support (2021)","Unlimit Health","Global Health & Development","Global Health & Development",03/2021,"$3,129,000"
"Update to Millions Saved Project","Center for Global Development","History of Philanthropy","History of Philanthropy; Global Health & Development",06/2013,"$50,000"
"UPenn — Philip Tetlock’s Forecasting Project","University of Pennsylvania",Forecasting,Forecasting,07/2017,"$1,550,000"
"UPMC Center for Health Security — ELBI","UPMC Center for Health Security","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",10/2016,"$2,744,000"
"Urban Institute — Countercyclical State Funding Mechanisms","Urban Institute","Macroeconomic Policy","Macroeconomic Policy",11/2020,"$50,000"
"Urban Institute — History of Philanthropy Project","Urban Institute","History of Philanthropy","History of Philanthropy",12/2017,"$365,833"
"Urban Institute — Land Use Convening","Urban Institute","Housing Policy Reform","Housing Policy Reform",10/2015,"$97,865"
"US Cochrane Center — General Support","United States Cochrane Center",Meta-Research,Meta-Research,07/2012,"$100,000"
"USAIM — Seasonal Migration from Haiti","U.S. Association for International Migration","Immigration Policy","Immigration Policy",07/2014,"$1,310,482"
"USC — Microbiome and Alzheimer&#8217;s (Berislav Zlokovic)","University of Southern California","Alzheimer's Research","Scientific Research; Alzheimer's Research",10/2018,"$1,944,704"
"User-Friendly Marketing — Corporate Outreach Support","User-Friendly Marketing","Farm Animal Welfare","Farm Animal Welfare",07/2023,"$40,000"
"Usona Institute — Phase 3 Trial for Depression Therapy","Usona Institute","Drug Policy Reform","Drug Policy Reform",02/2018,"$500,000"
"Usona Institute — Psilocybin Trial for Depression Therapy","Usona Institute","Drug Policy Reform","Drug Policy Reform",02/2019,"$500,000"
"Vaccine Formulation Institute — Clinical Development of Novel Adjuvants","Vaccine Formulation Institute","Global Health R&amp;D","Global Health R&amp;D",02/2025,"$5,732,100"
"Vegan Women Summit — General Support","Vegan Women Summit","Farm Animal Welfare","Farm Animal Welfare",01/2020,"$5,000"
"Vegan Women Summit — General Support (2021)","Vegan Women Summit","Farm Animal Welfare","Farm Animal Welfare",03/2022,"$200,000"
"Vegan Women Summit — Plant- and Cell-Based Startup Pitch Competition","Vegan Women Summit","Farm Animal Welfare","Farm Animal Welfare",10/2020,"$20,000"
"VegeProject — Corporate Outreach",VegeProject,"Farm Animal Welfare","Farm Animal Welfare",05/2020,"$102,400"
"VegeProject — Corporate Outreach (2024)",VegeProject,"Farm Animal Welfare","Farm Animal Welfare",08/2024,"$300,000"
"Vegetarianos Hoy — Farm Animal Welfare in Chile and Colombia","Vegetarianos Hoy","Farm Animal Welfare","Farm Animal Welfare",03/2023,"$157,000"
"Vera Institute of Justice — Common Justice","Vera Institute of Justice","Criminal Justice Reform","Criminal Justice Reform",02/2016,"$200,000"
"Vera Institute of Justice — Common Justice","Vera Institute of Justice","Criminal Justice Reform","Criminal Justice Reform",06/2016,"$8,000"
"Vera Institute of Justice — Criminal Justice Reform Report","Vera Institute of Justice","Criminal Justice Reform","Criminal Justice Reform",03/2017,"$50,000"
"Vera Institute of Justice — New Orleans User-Funded Justice System","Vera Institute of Justice","Criminal Justice Reform","Criminal Justice Reform",07/2016,"$100,000"
"Vereniging Green Protein Alliance — Plant Protein Advocacy","Vereniging Green Protein Alliance","Farm Animal Welfare","Farm Animal Welfare",12/2023,"$299,532"
"Veterans Education and Research Association of Northern New England — Alzheimer&#8217;s Research","Veterans Education and Research Association of Northern New England","Alzheimer's Research","Scientific Research; Alzheimer's Research",10/2019,"$229,225"
"Viroclinics Biosciences — Broad-Spectrum Antivirals","Viroclinics Biosciences","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",11/2018,"$421,969"
"Vital Strategies — LPG Subsidies Analysis","Vital Strategies","South Asian Air Quality","South Asian Air Quality",05/2023,"$37,536"
"Vital Strategies — RESET Alcohol Initiative","Vital Strategies","Global Health & Development","Global Health & Development",01/2022,"$15,000,000"
"Vital Strategies — RESET Alcohol Initiative (2024)","Vital Strategies","Global Public Health Policy","Global Public Health Policy",11/2024,"$8,206,570"
"Vital Strategies — Support for a Consortium on Alcohol Control Policy","Vital Strategies","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",01/2021,"$100,000"
"VOCAL-NY — Court Watch NYC",VOCAL-NY,"Criminal Justice Reform","Criminal Justice Reform",06/2018,"$75,000"
"VOCAL-NY — Prosecutor Accountability",VOCAL-NY,"Criminal Justice Reform","Criminal Justice Reform",06/2020,"$200,000"
"Voice of the Ex-Offender — Southern Regional Convening","Voice of the Ex-Offender","Criminal Justice Reform","Criminal Justice Reform",02/2016,"$40,000"
"Voice of the Experienced — General Support","Voice of the Experienced","Criminal Justice Reform","Criminal Justice Reform",08/2016,"$325,500"
"VST Bio — Stroke Treatment","VST Bio","Scientific Research","Scientific Research",07/2020,"$4,500,000"
"Wageningen University — Wild-Caught Fish Welfare","Wageningen University","Farm Animal Welfare","Farm Animal Welfare",03/2023,"$330,566"
"Wageningen University — Wild-Caught Fish Welfare (2024)","Wageningen University","Fish Welfare","Fish Welfare; Farm Animal Welfare",04/2024,"$831,750"
"Wageningen University &#038; Research — Wild-Caught Fish Welfare","Wageningen University &amp; Research","Farm Animal Welfare","Farm Animal Welfare",03/2021,"$519,434"
"Wageningen UR — Chicken Welfare Systematic Assessment","Wageningen UR","Farm Animal Welfare","Farm Animal Welfare",03/2017,"$88,345"
"WaitList Zero — General Support","WaitList Zero","Organ Transplantation","Organ Transplantation",08/2015,"$200,000"
"WaitList Zero — General Support (2019)","WaitList Zero","Organ Transplantation","Organ Transplantation",12/2019,"$100,000"
"WaitList Zero — General Support (January 2018)","WaitList Zero","Organ Transplantation","Organ Transplantation",01/2018,"$100,000"
"WaitList Zero — Planning Grant","WaitList Zero","Organ Transplantation","Organ Transplantation",09/2014,"$50,000"
"Wakker Dier — Farm Animal Welfare Litigation","Wakker Dier","Farm Animal Welfare","Farm Animal Welfare",03/2021,"$1,180,000"
"Wakker Dier — Farm Animal Welfare Litigation (2024)","Wakker Dier","Farm Animal Welfare","Farm Animal Welfare",06/2024,"$958,286"
